time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-05-01 00:00:00,10.3,7.4,82.0,0.0,0.0,290.0,5.4,8.0,1016.6,,4.0
2023-05-01 01:00:00,9.8,7.4,85.0,0.0,,290.0,5.4,13.0,1015.9,,4.0
2023-05-01 02:00:00,9.8,7.4,85.0,0.0,,340.0,3.6,13.0,1015.5,,4.0
2023-05-01 03:00:00,9.8,7.2,84.0,0.0,0.0,320.0,3.6,8.0,1015.2,,4.0
2023-05-01 04:00:00,10.0,7.6,85.0,0.0,,350.0,5.4,3.7,1015.0,,4.0
2023-05-01 05:00:00,10.4,8.2,86.0,0.2,,20.0,7.6,5.5,1015.3,,4.0
2023-05-01 06:00:00,10.3,7.5,83.0,0.0,0.0,20.0,1.8,11.0,1015.7,,4.0
2023-05-01 07:00:00,11.1,8.0,81.0,0.0,,0.0,0.0,7.4,1015.8,,4.0
2023-05-01 08:00:00,12.9,9.7,81.0,0.0,,130.0,3.6,7.4,1015.5,,4.0
2023-05-01 09:00:00,16.3,11.2,72.0,0.0,0.0,170.0,9.4,18.0,1015.1,,4.0
2023-05-01 10:00:00,17.2,10.8,66.0,0.0,,180.0,9.4,13.0,1014.9,,4.0
2023-05-01 11:00:00,15.7,12.3,80.0,1.0,,310.0,11.2,14.8,1014.9,,4.0
2023-05-01 12:00:00,15.5,11.9,79.0,9.0,0.0,70.0,13.0,41.0,1014.7,,4.0
2023-05-01 13:00:00,17.9,10.3,61.0,0.0,,90.0,7.6,18.5,1014.4,,4.0
2023-05-01 14:00:00,17.0,12.1,73.0,0.0,,140.0,9.4,18.5,1014.4,,4.0
2023-05-01 15:00:00,16.9,10.3,65.0,0.0,0.0,210.0,5.4,24.0,1014.6,,25.0
2023-05-01 16:00:00,17.9,8.7,55.0,0.0,,270.0,5.4,13.0,1014.6,,4.0
2023-05-01 17:00:00,16.5,9.2,62.0,0.0,,280.0,20.5,11.1,1015.5,,4.0
2023-05-01 18:00:00,15.5,8.9,65.0,0.0,0.0,270.0,11.2,30.0,1015.8,,4.0
2023-05-01 19:00:00,14.9,9.3,69.0,0.0,,280.0,11.2,11.1,1016.5,,4.0
2023-05-01 20:00:00,14.0,9.0,72.0,0.0,,300.0,16.6,9.3,1017.5,,4.0
2023-05-01 21:00:00,12.9,8.6,75.0,0.0,0.0,270.0,11.2,17.0,1018.1,,4.0
2023-05-01 22:00:00,12.7,7.8,72.0,0.0,,280.0,5.4,11.1,1018.5,,4.0
2023-05-01 23:00:00,11.8,8.1,78.0,0.0,,310.0,7.6,11.1,1018.9,,4.0